iter	Logloss
0	0.6513850988
1	0.6120074849
2	0.5815913222
3	0.5515137386
4	0.5254833549
5	0.5058338336
6	0.4896622626
7	0.4727807887
8	0.4575459239
9	0.4429298708
10	0.4319055442
11	0.4220624754
12	0.4136971205
13	0.4062981421
14	0.3986156018
15	0.3931101894
16	0.3866760575
17	0.3818688671
18	0.3764598802
19	0.3735969824
20	0.3706986439
21	0.3672634594
22	0.3646317183
23	0.3613050903
24	0.3582765015
25	0.3556651916
26	0.3540609443
27	0.3522691949
28	0.3503863274
29	0.3483744327
30	0.3469577868
31	0.3452844554
32	0.3442753127
33	0.3427936818
34	0.3411962149
35	0.3397870506
36	0.3386859985
37	0.3372253306
38	0.3361035397
39	0.33518687
40	0.3340705477
41	0.3330860064
42	0.3321376978
43	0.3311752885
44	0.3306939637
45	0.3299122606
46	0.3291697103
47	0.3284520104
48	0.3277625732
49	0.3272957928
50	0.3268072095
51	0.3262453922
52	0.3257703468
53	0.3253069929
54	0.324877061
55	0.3244262688
56	0.3237501721
57	0.3232502543
58	0.3228582997
59	0.3223620325
60	0.32261	0.32161	0.32162	0.32162	0.32163	0.32063	0.32064	0.32064	0.32065	0.31965	0.31966	0.31966	0.31967	0.31967	0.31968	0.31868	0.31869	0.31869	0.3170	0.3183347288
71	0.3179433503
72	0.3177660582
73	0.3174758892
74	0.3173161994
75	0.3170357974
76	0.3167630204
77	0.3165887759
78	0.316254655
79	0.3160480123
80	0.3157380222
81	0.31581	0.31582	0.31582	0.31483	0.31583	0.31484	0.31484	0.31485	0.31485	0.31486	0.31486	0.31387	0.31487	0.31388	0.31488	0.31389	0.31389	0.31390	0.31390	0.3132230021
91	0.3130949373
92	0.3193	0.313193	0.3194	0.319494	0.3195	0.312795	0.3196	0.312696	0.3197	0.312597	0.3198	0.31298	0.31199	0.3121915135
100	0.31100	0.311101	0.31101	0.311102	0.31102	0.3111375774
103	0.31098008410104	0.31079459
105	0.3105957514
106	0.3104224176
107	0.3102473753
108	0.3101334761
109	0.30991110	0.110	0.30974111	0.111	0.30961112	0.112	0.30953113	0.113	0.30941114	0.114	0.30921115	0.115	0.30911116	0.116	0.30891117	0.117	0.30881118	0.31575187871119	0.31559095321120	0.3153666511121	0.31522641012122	0.31509359712123	0123	0.307912124	0.3148441453
125	0.3147476037
